0:00:00.12,0:00:02.61	الحمايةُ مِنَ التَّلَوُّثِ
0:00:04.20,0:00:09.69	اِزْدادَ الاهْتِمامُ في العَقْدِ الأَخيرِ بِمْوضوعِ حِمايَةِ البيئَةِ مِنَ التَّلَوُّثِ
0:00:09.69,0:00:14.35	حَيْثُ تَتَعَرَّضُ البيئَةُ لِمَزيدٍ مِنَ العَبَثِ
0:00:14.35,0:00:18.26	الذي أدَّى إِلى ظُهورِ مُشْكِلاتٍ عَديدَةٍ
0:00:18.26,0:00:22.29	أخَذَتْ تُهَدِّدُ سَلامَةَ الحَياةِ البَشَرِيَّةِ .
0:00:22.29,0:00:26.87	لَفْظَةُ البيئَةِ شائِعَةُ الاسْتِخدامِ
0:00:26.87,0:00:31.95	ويَرْتَبِطُ مَعناها بِنَمَطِ العَلاقَة ِبينَها وبينَ النّاسِ
0:00:31.95,0:00:38.63	ومِنَ المُسَلَّمُ بِهِ أنَّ البيئَةَ هِي الأرْضُ التي نَحْيا عَلَيها
0:00:38.63,0:00:44.92	ونَأكُلُ مِنْ خَيراتِها وهِيَ البَحْرُ الذى تَجري فيهِ السُّفُنُ
0:00:44.92,0:00:52.29	ونَأكُلُ مِنْهُ لَحْماً طَرِيّاً وهِيَ الماءُ العَذْبُ الذي نَشْربُهُ
0:00:52.29,0:01:00.20	وهي الهَواءُ الذي نَتَنَفَّسُهُ وهي الشَّمْسُ التي تَمْدُّنا بالضِّياءِ وبالطّاقَةِ
0:01:00.20,0:01:04.67	وهِيَ مَجموعَةُ النَّباتاتِ والحَيَواناتِ
0:01:04.67,0:01:10.63	وهِي عِمادُ الحَياةِ وأَساسُ التَّوازُنِ الطِّبيعِىِّ
0:01:10.63,0:01:15.68	وهِيَ الجِبالُ التي تثبِّتُ الأرْضَ
0:01:15.68,0:01:23.84	ومِنْ ثَمَّ فإِنَّ البيئَةَ الطَّبيعِيَّةَ تُمَثِّلُ المَوارِدَ التي سَخَّرَها اللهُ للإِنْسانِ
0:01:23.84,0:01:28.89	كَي يَحْصُل مِنْها عَلى مُقَوِّماتِ حَياتِهِ .
0:01:28.89,0:01:35.52	وكُلُّ ما خَلَقَهُ اللهُ تَعالى عَلى الأرْضِ وُجِدَ كامِلاً مُتَكامِلاً
0:01:35.52,0:01:38.75	بِما يُحَقِّقُ التَّوازُنَ في المَنْفَعَةِ
0:01:38.75,0:01:41.49	قالَ اللهُ تَعالى
0:01:41.49,0:01:51.83	" والأَرْضَ مَدَدْنَاهَا وأَلْقَيْنَا فِيهَا رَوَاسِىَ وأَنْبَتْنَا فِيهَا مِن كُل شَىءٍ مَّوْزونٍ "
0:01:51.83,0:01:57.53	ومنْ أجْلِ ذلِكَ لا يَجوزُ للإِنْسانِ أنْ يُفْسِدَ الأَرْضَ
0:01:57.53,0:02:00.46	بِما يُخِلُّ بِذلِكَ التَّوازُنِ
0:02:00.46,0:02:04.53	ويُحولُ دونَ الانْتِفاعِ الحَقيقِيِّ مِنْ خَيراتِها
0:02:04.53,0:02:07.77	قالَ اللهُ تَعالَى
