0:00:00.00,0:00:02.51	
0:00:03.67,0:00:09.84	
0:00:11.84,0:00:15.26	
0:00:15.26,0:00:17.57	
0:00:17.57,0:00:19.57	
0:00:19.57,0:00:22.27	
0:00:22.27,0:00:26.85	
0:00:26.85,0:00:30.38	
0:00:30.38,0:00:33.46	
0:00:33.46,0:00:38.08	
0:00:38.08,0:00:40.08	
0:00:40.08,0:00:43.03	
0:00:44.40,0:00:48.00	
0:00:48.00,0:00:50.00	
0:00:50.00,0:00:52.81	
0:00:52.81,0:00:56.24	
0:00:56.24,0:00:59.28	
0:00:59.28,0:01:01.28	
0:01:01.28,0:01:03.28	
0:01:03.28,0:01:07.56	
0:01:07.56,0:01:10.27	
0:01:10.27,0:01:13.48	
0:01:13.48,0:01:16.08	
0:01:16.08,0:01:18.08	
0:01:18.08,0:01:20.08	
0:01:20.08,0:01:22.08	
0:01:22.08,0:01:24.26	
0:01:24.26,0:01:26.26	
0:01:26.26,0:01:31.24	
0:01:31.24,0:01:35.23	
0:01:35.23,0:01:38.21	
0:01:38.21,0:01:40.21	
0:01:40.21,0:01:42.99	
0:01:42.99,0:01:45.65	
0:01:45.65,0:01:46.89	
0:01:46.89,0:01:52.89	
0:01:52.89,0:01:54.89	
0:01:54.89,0:01:56.89	
0:01:56.89,0:02:00.16	
0:02:00.96,0:02:04.65	
0:02:04.65,0:02:07.75	
0:02:07.75,0:02:10.80	
0:02:10.80,0:02:13.48	
0:02:13.48,0:02:15.48	
0:02:15.48,0:02:18.52	
0:02:18.52,0:02:20.99	
0:02:20.99,0:02:23.24	
0:02:23.24,0:02:25.24	
0:02:25.24,0:02:28.81	
0:02:28.81,0:02:32.26	
0:02:32.26,0:02:36.82	
0:02:36.82,0:02:38.82	
0:02:38.82,0:02:41.03	
0:02:41.03,0:02:45.12	
0:02:45.12,0:02:49.37	
0:02:49.37,0:02:54.60	
0:02:54.60,0:02:57.52	
0:02:57.52,0:02:59.86	
0:02:59.86,0:03:01.86	
0:03:01.86,0:03:04.69	
0:03:04.69,0:03:07.05	
0:03:07.05,0:03:09.05	
0:03:09.05,0:03:11.05	
0:03:11.05,0:03:13.64	
0:03:13.64,0:03:17.27	
0:03:17.27,0:03:19.27	
0:03:19.27,0:03:21.45	
0:03:21.45,0:03:25.04	
0:03:25.04,0:03:28.68	
0:03:29.35,0:03:33.50	
0:03:33.50,0:03:35.50	
0:03:35.50,0:03:38.53	
0:03:38.53,0:03:40.53	
0:03:40.53,0:03:43.34	
0:03:43.34,0:03:44.85	
0:03:44.85,0:03:47.86	
0:03:47.86,0:03:50.79	
0:03:50.79,0:03:52.79	
0:03:52.79,0:03:55.24	
0:03:55.24,0:03:58.68	
0:03:58.68,0:04:00.64	
0:04:00.64,0:04:05.56	
0:04:05.56,0:04:10.00	
0:04:10.00,0:04:14.41	
0:04:14.41,0:04:16.49	
0:04:16.49,0:04:18.49	
0:04:19.01,0:04:21.26	
0:04:21.26,0:04:23.72	
0:04:23.72,0:04:26.43	
0:04:26.43,0:04:28.67	
0:04:28.67,0:04:30.67	
0:04:30.67,0:04:32.35	
0:04:32.39,0:04:34.76	
0:04:34.76,0:04:36.76	
0:04:36.76,0:04:38.76	
0:04:38.76,0:04:41.46	
0:04:41.46,0:04:47.35	
0:04:47.35,0:04:49.95	
0:04:49.95,0:04:52.32	
0:04:52.32,0:04:56.68	
0:04:56.68,0:04:59.37	
0:04:59.37,0:05:02.46	
0:05:02.46,0:05:04.46	
0:05:04.46,0:05:06.46	
0:05:06.46,0:05:08.46	
0:05:08.46,0:05:11.21	
0:05:11.21,0:05:15.42	
0:05:15.42,0:05:17.42	
0:05:17.42,0:05:20.81	
0:05:20.81,0:05:23.77	
0:05:23.77,0:05:25.77	
0:05:25.77,0:05:28.00	
0:05:28.00,0:05:31.01	
0:05:31.01,0:05:33.95	
0:05:33.95,0:05:35.95	
0:05:35.95,0:05:38.83	
0:05:38.83,0:05:43.07	
0:05:43.07,0:05:46.25	
0:05:46.25,0:05:48.82	
0:05:48.82,0:05:51.53	
0:05:51.53,0:05:53.53	
0:05:54.71,0:05:56.44	
0:05:56.44,0:05:58.44	
	
